"FilePath","FileName","Module","TotalFunctions","StubCount","Stubs","DivergenceOnStubs","HasDivergenceIssue"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\NullDrv.cpp","NullDrv.cpp","Engine","27","25","UNullRenderDevice::Exec; UNullRenderDevice::Exit; UNullRenderDevice::Flush; UNullRenderDevice::FlushResource; UNullRenderDevice::GetRenderCaps; UNullRenderDevice::Lock; UNullRenderDevice::Present; UNullRenderDevice::ReadPixels; UNullRenderDevice::RestoreGamma; UNullRenderDevice::SetEmulationMode; UNullRenderDevice::SetRes; UNullRenderDevice::StaticConstructor; UNullRenderDevice::Unlock; UNullRenderDevice::UpdateGamma; URenderDevice::ChangeDrawingSurface; URenderDevice::CloseVideo; URenderDevice::DisplayVideo; URenderDevice::Draw3DLine; URenderDevice::GetAvailableResolutions; URenderDevice::GetAvailableVideoMemory; URenderDevice::HandleFullScreenEffects; URenderDevice::OpenVideo; URenderDevice::StartVideo; URenderDevice::StaticConstructor; URenderDevice::StopVideo","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\R6EngineIntegration.cpp","R6EngineIntegration.cpp","Engine","45","29","AR6ActionSpot::RenderEditorInfo; AR6ColBox::EnableCollision; AR6ColBox::GetDestination; AR6DecalGroup::ActivateGroup; AR6DecalGroup::KillDecal; AR6DecalGroup::PostScriptDestroyed; AR6DecalGroup::Spawned; AR6DecalManager::Spawned; AR6EngineWeapon::GetHeartBeatStatus; AR6eviLTesting::eviLTestATS; AR6eviLTesting::evilTestUpdateSystem; AR6TeamStartInfo::TransferFile; AR6WallHit::PostBeginPlay; AR6WallHit::SpawnEffects; AR6WallHit::SpawnSound; UR6AbstractGameManager::ClientLeaveServer; UR6AbstractGameManager::ConnectionInterrupted; UR6AbstractGameManager::GameServiceTick; UR6AbstractGameManager::GetGSCreateUbiServer; UR6AbstractGameManager::InitializeGameService; UR6AbstractGameManager::LaunchListenSrv; UR6AbstractGameManager::SetGSCreateUbiServer; UR6AbstractGameManager::StartJoinServer; UR6AbstractGameManager::StartLogInProcedure; UR6AbstractGameManager::StartPreJoinProcedure; UR6AbstractGameManager::UnInitialize; UR6AbstractPlanningInfo::AddPoint; UR6AbstractPlanningInfo::TransferFile; UR6AbstractTerroristMgr::UR6AbstractTerroristMgr","AR6DecalManager::Spawned","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnActCol.cpp","UnActCol.cpp","Engine","42","10","FCollisionHash::CheckActorLocations; FCollisionHash::CheckActorNotReferenced; FCollisionHash::CheckIsEmpty; FCollisionOctree::CheckActorLocations; FCollisionOctree::CheckActorNotReferenced; FCollisionOctree::Tick; FOctreeNode::ActorOverlapCheck; FOctreeNode::Draw; FOctreeNode::DrawFlaggedActors; FOctreeNode::FilterTest","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnActor.cpp","UnActor.cpp","Engine","329","46","AActor::AddMyMarker; AActor::AttachProjector; AActor::BoundProjectileVelocity; AActor::CheckForErrors; AActor::DbgVectorAdd; AActor::DbgVectorDraw; AActor::DetachProjector; AActor::GetPawnOrColBoxOwner; AActor::GetPlayerPawn; AActor::GetR6AvailabilityPtr; AActor::IsRelevantToPawnHeartBeat; AActor::IsRelevantToPawnHeatVision; AActor::IsRelevantToPawnRadar; AActor::KFreezeRagdoll; AActor::KMP2DynKarmaInterface; AActor::physKarma_internal; AActor::physKarmaRagDoll_internal; AActor::PlayerControlled; AActor::PostBeginPlay; AActor::PostEditLoad; AActor::PostEditMove; AActor::postKarmaStep; AActor::postKarmaStep_skeletal; AActor::PostNetReceive; AActor::PostNetReceiveLocation; AActor::PostPath; AActor::PostRaytrace; AActor::PostScriptDestroyed; AActor::preKarmaStep; AActor::preKarmaStep_skeletal; AActor::PreNetReceive; AActor::PrePath; AActor::PreRaytrace; AActor::ProcessDemoRecFunction; AActor::RenderEditorInfo; AActor::RenderEditorSelected; AActor::SaveServerOptions; AActor::SetGameType; AActor::SetVolumes; AActor::SetVolumes; AActor::Spawned; AActor::TestCanSeeMe; AActor::TickSpecial; AActor::UpdateColBox; AActor::UpdateRenderData; ABrush::CopyPosRotScaleFrom","AActor::KFreezeRagdoll; AActor::physKarma_internal; AActor::UpdateRenderData","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnAudio.cpp","UnAudio.cpp","Engine","18","1","FSoundData::Load","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnCamera.cpp","UnCamera.cpp","Engine","70","33","ACamera::RenderEditorInfo; ACamera::RenderEditorSelected; ECLipSynchData::ECLipSynchData; ECLipSynchData::ECLipSynchData; FMatineeTools::FMatineeTools; FPathBuilder::createPaths; FPathBuilder::Pass2From; FPathBuilder::TestWalk; FRebuildTools::FRebuildTools; UCameraEffect::PostRender; UCameraEffect::PreRender; UCameraOverlay::PostRender; UMotionBlur::PostRender; UMotionBlur::PreRender; UViewport::Exec; UViewport::ExecMacro; UViewport::ExecProfile; UViewport::ExecuteHits; UViewport::GetServer; UViewport::InitInput; UViewport::IsWire; UViewport::Lock; UViewport::LockOnActor; UViewport::PopHit; UViewport::Present; UViewport::PushHit; UViewport::ReadInput; UViewport::RefreshAll; UViewport::ScreenShot; UViewport::Serialize; UViewport::SetDrag; UViewport::TryRenderDevice; UViewport::Unlock","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnCanvas.cpp","UnCanvas.cpp","Engine","32","9","FCanvasUtil::DrawLine; FCanvasUtil::DrawPoint; FCanvasUtil::DrawTile; FCanvasUtil::DrawTileRotated; FCanvasUtil::Flush; FCanvasUtil::GetRawStreamData; UCanvas::DrawTile; UCanvas::Exec; UCanvas::WrappedPrint","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnChan.cpp","UnChan.cpp","Engine","45","17","UActorChannel::ReceivedBunch; UActorChannel::ReplicateActor; UActorChannel::SetChannelActor; UChannel::Close; UChannel::ReceivedAcks; UChannel::ReceivedBunch; UChannel::ReceivedRawBunch; UChannel::ReceivedSequencedBunch; UChannel::RouteDestroy; UChannel::SendBunch; UChannel::Serialize; UChannel::StaticConstructor; UChannel::Tick; UControlChannel::ReceivedBunch; UControlChannel::Serialize; UFileChannel::ReceivedBunch; UFileChannel::Tick","UActorChannel::ReceivedBunch; UActorChannel::SetChannelActor","YES"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnConn.cpp","UnConn.cpp","Engine","29","12","UClient::Destroy; UClient::Flush; UClient::PostEditChange; UClient::RestoreGamma; UClient::Serialize; UClient::StaticConstructor; UClient::UpdateGamma; UClient::UpdateGraphicOptions; UDemoRecConnection::HandleClientPlayer; UDemoRecConnection::StaticConstructor; UPackageMapLevel::UPackageMapLevel; UPlayer::Destroy","","NO"
"C:\Users\danpo\Desktop\rvs\src\Engine\Src\UnDownload.cpp","UnDownload.cpp","Engine","23","5","UBinaryFileDownload::DownloadError; UBinaryFileDownload::ReceiveFile; UBinaryFileDownload::Tick; UBinaryFileDownload::TrySkipFile; UDownload::Tick","","NO"
